NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-157	猴子	monkey	619	1350	MONKEY		308	monkey	猴子	monkey	动物	Huang-1992-1820-308	monkey	猴子	1350	MONKEY	n		
Chen-2013-888-158	熊	bear	619	1820	BEAR		311	bear	熊	bear	动物	Huang-1992-1820-311	bear	熊	1820	BEAR	n		
Chen-2013-888-159	野猪	wild boar	619	1348	BOAR		312	wild boar	野猪	wild boar	动物	Huang-1992-1820-312	boar (wild)	野猪	1348	BOAR	n		
Chen-2013-888-160	穿山甲	pangolin	620	2508	PANGOLIN		0				动物								
Chen-2013-888-161	老鼠	mouse	620	2139	MUROID (MOUSE OR RAT)		320	mouse	老鼠	mouse	动物	Huang-1992-1820-320	mouse	老鼠	1491	MOUSE	n		
Chen-2013-888-162	黄鼠狼	yellow weasel	620		*YELLOW WEASEL		322	yellow weasel	黄鼠狼	yellow weasel	动物	Huang-1992-1820-322	weasel (yellow)	黄鼠狼		*WEASEL	n		
Chen-2013-888-163	狐狸	fox	621	1312	FOX		325	fox	狐狸	fox	动物	Huang-1992-1820-325	fox	狐狸	1312	FOX	n		
Chen-2013-888-164	鸟	bird	621	937	BIRD		326	bird	鸟	bird	动物	Huang-1992-1820-326	bird	鸟	937	BIRD	n		
Chen-2013-888-165	鸟窝	bird‘s nest	621	539	NEST		327	bird‘s nest	鸟窝	bird‘s nest	动物	Huang-1992-1820-327	nest (bird)	鸟窝	539	NEST	n		
Chen-2013-888-166	老鹰	black-eared kite/ hawk	622	1905	EAGLE		328	black-eared kite/ hawk	老鹰	black-eared kite/ hawk	动物	Huang-1992-1820-328	kite (black-eared) / hawk	老鹰	307	HAWK	n		
Chen-2013-888-167	猫头鹰	owl	622	735	OWL		332	owl	猫头鹰	owl	动物	Huang-1992-1820-332	owl	猫头鹰	735	OWL	n		
Chen-2013-888-168	燕子	swallow	622	3077	SWALLOW (BIRD)		333	swallow	燕子	swallow	动物	Huang-1992-1820-333	swallow	燕子	3077	SWALLOW (BIRD)	n		
Chen-2013-888-169	麻雀	sparrow	623	1854	SPARROW		336	sparrow	麻雀	sparrow	动物	Huang-1992-1820-336	sparrow	麻雀	1854	SPARROW	n		
Chen-2013-888-170	乌鸦	crow	623	913	CROW		339	crow	乌鸦	crow	动物	Huang-1992-1820-339	crow	乌鸦	913	CROW	n		
Chen-2013-888-171	野鸡	pheasant	623	3060	PHEASANT		340	pheasant	野鸡	pheasant	动物	Huang-1992-1820-340	pheasant	野鸡	3060	PHEASANT	n		
Chen-2013-888-172	斑鸠	turtledove (streptopelia orientalis)	624				342	turtledove			动物								
